Voltage,Duration_5e-06
0.9,2480.95105
0.904408818,2507.950126
0.908817635,2535.288553
0.913226453,2562.767689
0.917635271,2590.212546
0.922044088,2618.053171
0.926452906,2645.975769
0.930861723,2674.189232
0.935270541,2702.542929
0.939679359,2731.02675
0.944088176,2759.695056
0.948496994,2788.73058
0.952905812,2817.811475
0.957314629,2847.165472
0.961723447,2876.813966
0.966132265,2906.533165
0.970541082,2936.539646
0.9749499,2966.63812
0.979358717,2997.021849
0.983767535,3027.429936
0.988176353,3058.089062
0.99258517,3089.185741
0.996993988,3120.119127
1.001402806,3151.674924
1.005811623,3183.14682
1.010220441,3214.975606
1.014629259,3246.823781
1.019038076,3279.139465
1.023446894,3311.349982
1.027855711,3343.88197
1.032264529,3376.990974
1.036673347,3409.816415
1.041082164,3443.086943
1.045490982,3476.507644
1.0498998,3510.348457
1.054308617,3544.310976
1.058717435,3578.103491
1.063126253,3612.772822
1.06753507,3647.295227
1.071943888,3681.963551
1.076352705,3717.140902
1.080761523,3752.257962
1.085170341,3788.156475
1.089579158,3823.598984
1.093987976,3859.649982
1.098396794,3895.614095
1.102805611,3931.726875
1.107214429,3968.929116
1.111623246,4005.533562
1.116032064,4042.893887
1.120440882,4080.339003
1.124849699,4118.152305
1.129258517,4155.454137
1.133667335,4194.046323
1.138076152,4232.127487
1.14248497,4270.774483
1.146893788,4309.842459
1.151302605,4348.925019
1.155711423,4388.285502
1.16012024,4427.817518
1.164529058,4467.703145
1.168937876,4508.282238
1.173346693,4548.846763
1.177755511,4589.16389
1.182164329,4630.245693
1.186573146,4671.269541
1.190981964,4712.925344
1.195390782,4754.38468
1.199799599,4795.916978
1.204208417,4839.049778
1.208617234,4881.629891
1.213026052,4924.238599
1.21743487,4967.430697
1.221843687,5010.809146
1.226252505,5054.137466
1.230661323,5098.755412
1.23507014,5143.489313
1.239478958,5187.755647
1.243887776,5232.926491
1.248296593,5277.864064
1.252705411,5322.923879
1.257114228,5368.74344
1.261523046,5415.342811
1.265931864,5461.791313
1.270340681,5508.049728
1.274749499,5555.330927
1.279158317,5602.013994
1.283567134,5650.224512
1.287975952,5698.558348
1.29238477,5746.890371
1.296793587,5795.143509
1.301202405,5844.763621
1.305611222,5892.631899
1.31002004,5942.970312
1.314428858,5992.848738
1.318837675,6043.32129
1.323246493,6094.480403
1.327655311,6145.449089
1.332064128,6196.281488
1.336472946,6248.37171
1.340881764,6300.171504
1.345290581,6353.153071
1.349699399,6405.81392
1.354108216,6458.827717
1.358517034,6512.154382
1.362925852,6566.45592
1.367334669,6620.537106
1.371743487,6674.075624
1.376152305,6730.669741
1.380561122,6784.961537
1.38496994,6841.880403
1.389378758,6897.052631
1.393787575,6954.70516
1.398196393,7011.489735
1.40260521,7068.892176
1.407014028,7126.692617
1.411422846,7184.957797
1.415831663,7243.02139
1.420240481,7301.286114
1.424649299,7362.263736
1.429058116,7422.080735
1.433466934,7483.058736
1.437875752,7543.4734
1.442284569,7605.946924
1.446693387,7667.420642
1.451102204,7728.711937
1.455511022,7790.471709
1.45991984,7854.765697
1.464328657,7919.005189
1.468737475,7983.32409
1.473146293,8046.411568
1.47755511,8110.414609
1.481963928,8177.571236
1.486372745,8243.895657
1.490781563,8310.76452
1.495190381,8376.426665
1.499599198,8444.923049
1.504008016,8514.500639
1.508416834,8582.923541
1.512825651,8649.640926
1.517234469,8720.662259
1.521643287,8792.36212
1.526052104,8864.033737
1.530460922,8934.729886
1.534869739,9006.355121
1.539278557,9078.959285
1.543687375,9152.838849
1.548096192,9227.129475
1.55250501,9300.388864
1.556913828,9375.840432
1.561322645,9450.241858
1.565731463,9527.083726
1.570140281,9604.381908
1.574549098,9681.428822
1.578957916,9761.091876
1.583366733,9840.447974
1.587775551,9919.183979
1.592184369,9999.692051
1.596593186,10081.16927
1.601002004,10162.34944
1.605410822,10243.78987
1.609819639,10328.1131
1.614228457,10412.40814
1.618637275,10497.00582
1.623046092,10580.66192
1.62745491,10667.68598
1.631863727,10754.8265
1.636272545,10840.67255
1.640681363,10931.33755
1.64509018,11020.55461
1.649498998,11110.00046
1.653907816,11200.57965
1.658316633,11293.02173
1.662725451,11386.71193
1.667134269,11480.01883
1.671543086,11576.86869
1.675951904,11670.74085
1.680360721,11768.54848
1.684769539,11864.00935
1.689178357,11962.32746
1.693587174,12068.19434
1.697995992,12161.90896
1.70240481,12268.5
1.706813627,12369.9584
1.711222445,12474.88988
1.715631263,12580.29111
1.72004008,12681.93628
1.724448898,12788.6916
1.728857715,12899.57249
1.733266533,13007.78235
1.737675351,13116.4849
1.742084168,13229.14472
1.746492986,13342.05413
1.750901804,13456.44951
1.755310621,13575.65494
1.759719439,13693.03539
1.764128257,13812.90886
1.768537074,13928.02229
1.772945892,14050.91706
1.777354709,14170.77988
1.781763527,14292.82625
1.786172345,14417.63281
1.790581162,14547.26563
1.79498998,14675.44199
1.799398798,14810.61071
1.803807615,14939.62725
1.808216433,15074.11708
1.812625251,15209.05334
1.817034068,15345.23326
1.821442886,15485.12581
1.825851703,15624.24241
1.830260521,15768.82087
1.834669339,15910.12198
1.839078156,16057.34744
1.843486974,16205.7152
1.847895792,16357.03294
1.852304609,16510.83861
1.856713427,16665.72381
1.861122244,16816.51144
1.865531062,16980.7883
1.86993988,17137.78807
1.874348697,17307.68675
1.878757515,17470.91505
1.883166333,17636.85586
1.88757515,17821.07229
1.891983968,17993.08897
1.896392786,18168.85786
1.900801603,18347.47828
1.905210421,18530.60956
1.909619238,18718.40292
1.914028056,18905.82067
1.918436874,19089.32087
1.922845691,19288.68095
1.927254509,19487.93145
1.931663327,19693.37423
1.936072144,19895.71718
1.940480962,20101.32029
1.94488978,20313.27568
1.949298597,20535.73062
1.953707415,20757.59029
1.958116232,20984.64013
1.96252505,21216.56573
1.966933868,21447.47652
1.971342685,21680.46162
1.975751503,21933.08251
1.980160321,22179.08406
1.984569138,22431.59908
1.988977956,22697.50082
1.993386774,22956.35169
1.997795591,23232.55555
2.002204409,23508.25889
2.006613226,23792.03883
2.011022044,24077.08147
2.015430862,24383.48144
2.019839679,24664.90699
2.024248497,24997.6822
2.028657315,25294.27833
2.033066132,25621.39197
2.03747495,25978.30021
2.041883768,26297.48563
2.046292585,26658.86598
2.050701403,26999.20264
2.05511022,27392.67848
2.059519038,27749.17707
2.063927856,28155.65055
2.068336673,28546.911
2.072745491,28946.48761
2.077154309,29372.34604
2.081563126,29844.56258
2.085971944,30278.88651
2.090380762,30708.49946
2.094789579,31232.6658
2.099198397,31676.67916
2.103607214,32205.9659
2.108016032,32754.07993
2.11242485,33286.92858
2.116833667,33829.18087
2.121242485,34410.95889
2.125651303,35005.58976
2.13006012,35597.44274
2.134468938,36285.55743
2.138877756,36956.24161
2.143286573,37602.37674
2.147695391,38355.93993
2.152104208,39136.73373
2.156513026,39892.90076
2.160921844,40699.16284
2.165330661,41525.01085
2.169739479,42355.0568
2.174148297,43371.52413
2.178557114,44246.85081
2.182965932,45308.12818
2.187374749,46286.99656
2.191783567,47494.06674
2.196192385,48614.97933
2.200601202,49921.69932
2.20501002,51373.01137
2.209418838,52442.11594
2.213827655,53873.91285
2.218236473,55425.04596
2.222645291,56986.33222
2.227054108,58761.12503
2.231462926,60800.04781
2.235871743,62506.7011
2.240280561,64577.23148
2.244689379,66830.42074
2.249098196,69493.21103
2.253507014,71827.75388
2.257915832,74706.63894
2.262324649,78389.29072
2.266733467,83339.39431
2.271142285,86155.10489
2.275551102,93742.50916
2.27995992,96247.68618
2.284368737,99119.08823
2.288777555,105342.4627
2.293186373,124699.9312
2.29759519,129431.7788
2.302004008,144481.3083
2.306412826,151637.3457
2.310821643,171011.9879
2.315230461,194916.3649
2.319639279,229930.4022
2.324048096,263902.3244
2.328456914,241619.1237
2.332865731,295389.3043
2.337274549,334663.652
2.341683367,397184.3755
2.346092184,411265.1821
2.350501002,513906.0459
2.35490982,475391.4217
2.359318637,642415.6194
2.363727455,665542.0767
2.368136273,827195.6955
2.37254509,880743.3093
2.376953908,1051472.289
2.381362725,1144584.725
2.385771543,1254637.647
2.390180361,1331635.969
2.394589178,1459813.439
2.398997996,1704016.609
2.403406814,1938249.171
2.407815631,2131987.601
2.412224449,2185946.263
2.416633267,2666130.431
2.421042084,2579490.204
2.425450902,3177372.797
2.429859719,3230457.702
2.434268537,3459240.287
2.438677355,3774805.964
2.443086172,4222625.494
2.44749499,4343023.939
2.451903808,4689395.787
2.456312625,5248548.824
2.460721443,5529118.061
2.465130261,5826353.721
2.469539078,6124943.615
2.473947896,6687022.458
2.478356713,7030308.032
2.482765531,7328988.919
2.487174349,7608254.427
2.491583166,8001284.871
2.495991984,8694274.676
2.500400802,9350782.422
2.504809619,9378913.754
2.509218437,10069965.79
2.513627255,10265748.08
2.518036072,11055436.33
2.52244489,11832539.38
2.526853707,11937553.5
2.531262525,12958821.92
2.535671343,13064995.97
2.54008016,14018424.44
2.544488978,15088607.85
2.548897796,15652984.1
2.553306613,16277348.35
2.557715431,16850623.65
2.562124248,17087372.91
2.566533066,18909423.6
2.570941884,19553523.49
2.575350701,20406470.05
2.579759519,21153316.13
2.584168337,21980034.27
2.588577154,22559939.12
2.592985972,23602785.17
2.59739479,25021248.59
2.601803607,25918844.92
2.606212425,27479230.27
2.610621242,27844534.92
2.61503006,29355082.03
2.619438878,31297842.12
2.623847695,32290474.25
2.628256513,33278533.4
2.632665331,33790674.64
2.637074148,35685394
2.641482966,37496580.01
2.645891784,39630024.56
2.650300601,41114001.3
2.654709419,42271755.94
2.659118236,43806552.77
2.663527054,45097794.66
2.667935872,47328007.99
2.672344689,49125156.75
2.676753507,50595245.42
2.681162325,53273819.05
2.685571142,54173303.49
2.68997996,57612527.5
2.694388778,59843705.51
2.698797595,61078274.09
2.703206413,62960064.62
2.70761523,66878634.14
2.712024048,69232248.31
2.716432866,71848970.5
2.720841683,75535105.6
2.725250501,78211403.37
2.729659319,80372794.77
2.734068136,82877265.18
2.738476954,86111147.29
2.742885772,89564521.83
2.747294589,93362816.94
2.751703407,96265180.31
2.756112224,99362763.66
2.760521042,102647590.5
2.76492986,107289147.5
2.769338677,110803862.5
2.773747495,115738412.5
2.778156313,120474857.4
2.78256513,125047825.7
2.786973948,128484361.3
2.791382766,133442762.2
2.795791583,138775112.9
2.800200401,141021498
2.804609218,149961693
2.809018036,152331043.7
2.813426854,158542589.2
2.817835671,164425694.6
2.822244489,171223825.8
2.826653307,175100242.8
2.831062124,182039039.7
2.835470942,188608176.6
2.83987976,194728483.2
2.844288577,202301791.3
2.848697395,207684505.6
2.853106212,217531520.8
2.85751503,221243825.1
2.861923848,229249065.2
2.866332665,237392889.6
2.870741483,243285367.5
2.875150301,253668709.1
2.879559118,262015259.3
2.883967936,271683268.4
2.888376754,277898768
2.892785571,288286795.4
2.897194389,300274036.3
2.901603206,303078057.7
2.906012024,316291623.7
2.910420842,326889511.7
2.914829659,335745476
2.919238477,346801757.9
2.923647295,355739445.9
2.928056112,371504392.8
2.93246493,379967938.2
2.936873747,391561715.8
2.941282565,402817205.7
2.945691383,415247519.5
2.9501002,428345633.2
2.954509018,442979214.6
2.958917836,453809931.1
2.963326653,465629515.1
2.967735471,483134736.6
2.972144289,494475493.8
2.976553106,506211445.5
2.980961924,522831469.3
2.985370741,535053918.9
2.989779559,546327505.2
2.994188377,562112977.5
2.998597194,577630269.2
3.003006012,592821673.1
3.00741483,609608175.3
3.011823647,626820700.7
3.016232465,642779026.1
3.020641283,659725563.8
3.0250501,672391784
3.029458918,688735453.9
3.033867735,705726308.3
3.038276553,721672653.9
3.042685371,736443300.2
3.047094188,758272819.3
3.051503006,770840363.9
3.055911824,786090385.8
3.060320641,803230015.9
3.064729459,825091789.7
3.069138277,836658009.5
3.073547094,859184118.7
3.077955912,875051680.9
3.082364729,888441405.2
3.086773547,907479780.9
3.091182365,920229959.8
3.095591182,937119767.1
3.1,958638278.7
